gene,mean_shap_rank,mean_attn_rank,combined_rank_score,n_folds,mean_shap_importance,mean_attention
PDE4D,2578.67,3157.33,5736.00,2,1.32677e-05,0.000100011
ZNF573,3139.33,2597.33,5736.67,2,1.60995e-05,0.00013735
LOC100129518,2808.67,2928.33,5737.00,3,6.13492e-06,0.000128929
HCAR3,1558.33,4179.33,5737.67,3,1.25338e-05,0.000121967
ZNF268,2419.33,3319.67,5739.00,2,8.82067e-06,0.000122069
BIRC5,3336.67,2402.67,5739.33,2,9.71444e-06,0.000148898
CLDN11,2595.67,3144.00,5739.67,2,1.08832e-05,0.000172371
FAM208A,2843.67,2896.33,5740.00,2,8.46997e-06,0.000129336
ZSCAN16,3305.33,2435.00,5740.33,2,3.83037e-06,0.000207033
SAA1,2023.00,3718.00,5741.00,2,2.26762e-05,0.000139932
CCNE1,3001.33,2740.33,5741.67,2,4.7126e-06,0.000153919
CRISP2,2708.00,3035.00,5743.00,2,1.53534e-05,0.000100278
IFNG,3167.33,2577.67,5745.00,3,3.52541e-06,0.000149519
PPP1R15A,3028.00,2717.33,5745.33,2,4.22405e-06,0.000161152
RNF217,1968.00,3777.67,5745.67,3,7.7424e-06,0.000123162
THRB,2965.00,2780.67,5745.67,2,1.91986e-05,0.000100336
HOXA5,1879.67,3870.00,5749.67,3,1.50227e-05,0.000114701
ATR,2714.33,3035.67,5750.00,2,6.18865e-06,0.000130242
CD163,2397.33,3355.33,5752.67,3,5.15503e-06,0.000115917
C7,1497.00,4256.33,5753.33,3,1.04215e-05,0.000110968
TPRG1,1669.67,4083.67,5753.33,3,1.18919e-05,0.000116594
LOC101929787,3366.00,2387.67,5753.67,2,1.1046e-05,0.000100194
HSD17B6,3018.67,2736.67,5755.33,3,3.56249e-06,0.00012512
PTPLAD2,2588.33,3167.00,5755.33,2,9.06166e-06,0.000121277
SLCO4A1,3448.33,2307.67,5756.00,2,4.17928e-06,0.000163695
IQGAP2,3269.00,2487.67,5756.67,2,9.48081e-06,0.000141394
EDN1,1651.33,4106.67,5758.00,3,1.49649e-05,0.000119748
IGDCC4,2556.00,3202.67,5758.67,3,4.62224e-06,0.000120572
CMTR2,3332.33,2427.67,5760.00,2,3.90591e-06,0.000182762
STYK1,3561.00,2200.67,5761.67,3,4.92347e-06,0.000164052
SAA2-SAA4,3527.33,2236.67,5764.00,2,2.23793e-06,0.000191689
DHRS11,3414.67,2350.00,5764.67,2,1.08737e-05,0.00015844
NATD1,2872.33,2894.67,5767.00,2,6.82612e-06,0.000134507
A2M,2671.00,3099.33,5770.33,2,1.89722e-05,0.000122849
CRYAB,2798.33,2972.33,5770.67,2,2.54753e-05,0.00023682
EMC2,2448.67,3322.67,5771.33,2,1.25945e-05,0.000143316
PPIL4,2870.67,2901.00,5771.67,2,5.46352e-06,0.000134697
LOC100505715,2601.67,3171.00,5772.67,2,6.64785e-06,0.000140641
STAT5A,2074.00,3699.00,5773.00,2,2.08414e-05,9.9912e-05
KIAA1324,2147.67,3627.67,5775.33,3,9.01732e-06,0.000124659
LOC100506098,2396.33,3379.00,5775.33,3,4.89719e-06,0.000110988
